worker_id,gender,household_income,household_size,location_country,marital_status,year_of_birth,count,participation
60f48beb6aca3862d47a29b24b6d378f,female,"$40,000-$59,999",2,US,divorced,1983,1,1
dbe23450c8afa1a5d7db945eb3dabc25,male,"$100,000 or more",4,US,married,1977,1,1
0f3ebaf6c89b86ed7d74e0496a4c632f,female,"$15,000-$24,999",4,IN,married,1969,2,5
4b5559f2c4195b7faf90b798a617f607,female,"Less than $10,000",1,US,single,1995,1,1
1317611f4aff70fc1cab81885281b4af,male,"$100,000 or more",5+,US,single,1993,1,1
a2488da0b2470f184623fe85080bcbb9,male,"$40,000-$59,999",3,IN,single,1987,1,5
7831a2cee22e7bd02dd36075d533bd87,male,"$40,000-$59,999",2,CA,single,1966,3,3
8d740c6d40f8a6401bab9fad716c522d,male,"$25,000-$39,999",4,GR,married,1979,1,1
cb1eabda16cd7b20cb4d8610a0a600be,female,"$10,000-$14,999",1,US,single,1973,1,1
a2cb88228f6176c4b976c4edfac15437,male,"$60,000-$74,999",2,GB,single,1991,2,8
28b6c8082eb3817b99e71e2d47525998,male,"Less than $10,000",1,CL,single,1988,1,1
40b3114a7f79cd4a3bc2937340adf355,female,"$60,000-$74,999",2,US,single,1981,1,1
928b472d467109e86264356b6da9dd2d,female,"$15,000-$24,999",1,US,single,1982,1,1
33dc164c8e94ec2ff41bcfb04f39393e,male,"$15,000-$24,999",1,US,single,1981,1,4
2b25e8a8902cf102da08b0f8c90ed815,female,"$60,000-$74,999",1,US,divorced,1970,1,1
5b3cfbb590e94ec30542cd209b561cc1,male,"$10,000-$14,999",1,LT,single,1990,1,11
6afb0b2ab878581a7d92571f9e69247a,female,"$60,000-$74,999",4,US,married,1982,1,2
ac4e7cf003b4302043862764da8a4ad0,male,"$60,000-$74,999",2,US,single,1990,1,1
d97eaa6fdfaaf120e684e5aedd2407ba,male,"$25,000-$39,999",1,US,single,1987,1,1
f2639606b92f699ce83587644d2f503b,female,"$75,000-$99,999",4,US,cohabitating,1980,1,1
1f7be29e4d65230b5ad53cb0891f3b74,female,"$75,000-$99,999",1,US,divorced,1969,1,2
3cc7c71a880ef0d7d613bbe7d241df61,female,"$60,000-$74,999",4,US,married,1982,2,2
ac335ff3b3239f21f2198cd36b89f692,male,"$25,000-$39,999",5+,IN,married,1990,6,13
dd132ba6349322e859f8c8be868e9e77,male,"$25,000-$39,999",3,GB,single,1992,1,8
1165841c19a0b24a0247e8c444fa3f31,male,"$15,000-$24,999",3,DE,married,1982,1,10
2a287f4d099b13df2320a06a8d6d745b,male,"$40,000-$59,999",3,US,married,1985,1,1
727602e127ee711931fa622a1e8dfd71,female,"$75,000-$99,999",2,US,married,1985,1,1
272acfc570a36d93c5808a600eec8321,female,"$60,000-$74,999",5+,US,divorced,1977,2,3
26459b09b0dbfb54d9a8ab925359d7ac,female,"$25,000-$39,999",2,US,married,1988,1,2
0d8f5e473055cf202afaf7e484046deb,male,"$100,000 or more",5+,US,single,1983,1,2
ff9f28bd429d60367dc9908ad75a13cc,female,"$75,000-$99,999",2,US,married,1987,1,1
b50d85567ec004bdf662a3741b5e7a3f,female,"$15,000-$24,999",3,US,divorced,1977,1,1
2d35b2cef231950da3d118cb1fb4c7ad,male,"$100,000 or more",2,US,cohabitating,1982,1,1
0136008251096aca006491284c9e3113,female,"$40,000-$59,999",4,US,divorced,1967,1,2
52c4952bfe303cdc4ffde7f5aea667d2,female,"$60,000-$74,999",3,US,engaged,1935,1,4
926be035736a29eee9cf49396cb60117,female,"$60,000-$74,999",3,US,single,1995,1,1
ee7ec6ba78366fb78f49b70c7efac316,male,"$100,000 or more",3,US,single,1992,1,1
17ffe5d5dbc0de49ab0b61d15d2afe92,male,"$25,000-$39,999",4,US,single,1993,1,2
57dc8d0bb6591d2d759f5049fd907633,male,"$10,000-$14,999",1,US,single,1987,1,1
1019b92ea24a64c0b769b4d8aff23d2f,male,"Less than $10,000",2,US,single,1992,1,1
0fa616d3a9bfb5649dd3a3e7bc14ab5b,female,"$25,000-$39,999",1,US,single,1990,3,9
3b0f3e9ceb15b1e5e1b81e69c5eeccb2,female,"Less than $10,000",2,US,divorced,1984,1,1
4cd7d490326ea7a2fd39e13bc6bcd650,female,"$10,000-$14,999",2,LT,engaged,1988,1,1
1cd09d864b8f179dde0e1cf5cfb62444,female,"Less than $10,000",5+,IN,married,1985,5,10
f7792615abc9ca45eb2259b1987eb25d,female,"$25,000-$39,999",2,US,cohabitating,1982,1,2
67f4285960ce9f40456a960229d337b2,male,"$60,000-$74,999",2,US,married,1955,1,2
addf87c6d11bc0b9572572d6d23fc5fc,male,"$75,000-$99,999",3,IN,married,1984,4,19
5fa3f58760dece76da85a089d1978d4c,male,"$100,000 or more",2,US,married,1985,1,1
0f67341c0d5145cdf435d7d252938f5f,female,"$100,000 or more",2,US,married,1960,1,1
b0cc8da98fba4aa01b920b86dd418227,female,"$60,000-$74,999",5+,US,married,1980,1,2
d7965c91ecabb672b2162692d5e393dc,male,"$15,000-$24,999",1,TR,single,1986,1,1
87f19a3dae0dda06cda0465f09b70cc2,female,"$25,000-$39,999",1,US,single,1979,3,4
88879825109b8757cf5ad1b2904554ae,male,"$15,000-$24,999",5+,IN,married,1986,1,1
8f2c27590cc52218e5141236506c92b0,male,"$10,000-$14,999",4,IN,single,1996,1,2
47954e1af110976da237d9309112f7be,male,"$100,000 or more",4,US,cohabitating,1968,1,1
5cc2c70d7d6e4df12ad3ac8bb85afe51,male,"$15,000-$24,999",1,US,single,1989,1,6
71cc678547710aaf7a61f8c4671b3c39,female,"$25,000-$39,999",1,US,single,1989,1,1
2c11d8fbc8ec3cffa4abd0fc2e3a6a89,male,"$100,000 or more",2,US,cohabitating,1983,3,10
f44f6e0f68a5d45425b1a6fce0664b24,male,"$100,000 or more",3,US,married,1964,6,7
11cc8bcd3650d2ad91d549930121882f,male,"$10,000-$14,999",2,US,single,1994,3,7
9fe5cf2f899b9a015fef8fa9f137d79d,female,"$60,000-$74,999",4,US,married,1967,1,1
9f9582c7748e0a223fcaebfae8aff5eb,female,"$40,000-$59,999",3,US,divorced,1992,1,2
5b965751348537cd4a95a8a2645d6f0c,female,"$10,000-$14,999",2,US,single,1966,2,2
10544c7049c9701d3b50372e29ff80b1,male,"$10,000-$14,999",2,US,engaged,1981,1,3
901edd886b5cfd76424597719e430a44,female,"$60,000-$74,999",3,US,single,1993,1,2
c587bcb478f8d94a7ba558da3f12d4b5,female,"$25,000-$39,999",2,US,married,1958,1,1
21e1ffcf3d71e1526b78397b0b680d27,female,"$40,000-$59,999",4,US,married,1985,1,1
437940938a0c1f1530c97b80d56f6742,female,"$25,000-$39,999",2,US,married,1992,1,2
